Autoria;Localização de onde foi publicada a obra referenciada;Data de publicação da obra referenciada;Língua da publicação - tradução;Localização da autoria original;Referência completa como consta no artigo;;;;;;;;;;;;;;;;;;;;;
SOUZA, Marcos Alves;Brasil;1996;Português;Brasil;"SOUZA, Marcos Alves. ""A Nação em Chuteiras: Raça e Masculinidade no Futebol Brasileiro"". Dissertação de Mestrado, Brasília, PPGAS-DAN/UNB, 1996.";;;;;;;;;;;;;;;;;;;;;
SUÁREZ, Mireya;Brasil;1992;Português;Brasil;"SUÁREZ, Mireya. ""Desconstrução das Categorias Mulher e Negro"". Série Antropológica (133), Brasília, DAN/UnB, 1992.";;;;;;;;;;;;;;;;;;;;;
TOLEDO, Luiz Henrique de;Brasil;1996;Português;Brasil;TOLEDO, Luis Henrique de. Torcidas Organizadas de Futebol. Campinas, Autores Associados/ANPOCS, 1996.;;;;;;;;;;;;;;;;;;;;;
VIDAL E SOUZA, Candice;Brasil;1993;Português;Brasil;"VIDAL E SOUZA, Candice. ""Brasileiros e Brasileiras: O Gênero na Construção da Nacionalidade em Cassiano Ricardo e Alfredo Ellis Jr."". Brasília, PPGAS/Universidade de Brasília, 1993, p.10.";;;;;;;;;;;;;;;;;;;;;
VINNAI, Gerhard;Argentina;1974;Espanhol;Argentina;VINNAI, Gerhard. El fútbol como ideología. Buenos Aires, Siglo Veintiuno, 1974, pp.129;;;;;;;;;;;;;;;;;;;;;
PIERSON, Donald e WILLEMS, Emílio;Brasil;1987;Português;Brasil;Algumas atividades no Brasil em prol da Antropologia e outras Ciências Sociais. In: CORRÊA, Mariza (ed.). História da Antropologia no Brasil: 1930-1960, testemunhos Donald Pierson e Emilio Willems. São Paulo, Vértice, 1987.;;;;;;;;;;;;;;;;;;;;;
PIERSON, Donald;EUA;1936;Inglês;EUA;The Brazilian race study carried on by Donald Pierson of the University of Chicago. In: HANKE, Lewis (org.). Handbook of Latin American Studies. Cambridge, Harvard University Press, 1936, pp.235-236.;;;;;;;;;;;;;;;;;;;;;
LANDES, Ruth;EUA;1940;Inglês;EUA;The Ethos of the Negro in the New World. Research Memorandum, Columbia University, 1940, p.19. ;;;;;;;;;;;;;;;;;;;;;
ABU-LUGHOD, Lila;EUA;1991;Inglês;EUA;"ABU-LUGHOUD, Lila. ""Writing Against Culture"". In: FOX, Richard (ed.). Recapturing Anthropology: Working in the Present. Santa Fe, School of American Research, 1991";;;;;;;;;;;;;;;;;;;;;
BARKAN, Elazar;EUA;1992;Inglês;EUA;BARKAN, Elazar. The Retreat of Scientific Racism: Changing concepts of race in Britain and the United States between the World Wars. New York, Cambridge University Press, 1992;;;;;;;;;;;;;;;;;;;;;
BASTIDE, Roger;EUA;1978;Inglês (tradução FR>EN);França;BASTIDE, Roger. The African Religions of Brazil: Toward a Sociology of the Interpenetration of Civilizations. Baltimore, Johns Hopkins University Press, 1978, p.221.;;;;;;;;;;;;;;;;;;;;;
BEHAR, Ruth;EUA;1993;Inglês;EUA;"BEHAR, Ruth ""Women Writing Culture: Another Telling of the History of American Anthropology"". Critique of Anthropology (13): 317, 1993.";;;;;;;;;;;;;;;;;;;;;
BENEDICT, Ruth;EUA;1934/1959;Inglês;EUA;"BENEDICT, Ruth. Patterns of Culture. New York, 1934; Boston, Houghton and Mifflin, 1959, p.xiv";;;;;;;;;;;;;;;;;;;;;
BENEDICT, Ruth;EUA;1940;Inglês;EUA;BENEDICT, Ruth. Race: Science and Politics. New York, Modern Age Books, 1940.;;;;;;;;;;;;;;;;;;;;;
BOURDIEU, Pierre;EUA;1991;Inglês (tradução FR>EN);França;BOURDIEU, Pierre. Language and Symbolic Power. Cambridge, Harvard University Press, 1991, pp.137-159.;;;;;;;;;;;;;;;;;;;;;
BROWN, Diana DeGroat;EUA;1994;Inglês;EUA;BROWN, Diana DeGroat. Umbanda: Religion and Politics in Urban Brazil. New York, Columbia University Press, 1994, p.5.;;;;;;;;;;;;;;;;;;;;;
BRUMBERG, Joan Jacobs;EUA;1984;Inglês;EUA;"BRUMBERG Joan Jacob. ""The Ethnological Mirror: American Evangelical Women and Their Heathen Sisters"". In: HARRIS, Barbara e McNAMARA, Jo Ann (eds.). Women and the Structure of Society. Durham, Duke University Press, 1984.";;;;;;;;;;;;;;;;;;;;;
CAFFREY, Margaret M.;EUA;1989;Inglês;EUA;CAFFREY, Margaret M. Ruth Benedict: Stranger in this Land. Austin, University of Texas Press, 1989, p.271.;;;;;;;;;;;;;;;;;;;;;
CARNEIRO, Edison;Brasil;1948;Português;Brasil;CARNEIRO, Edison. Candomblés da Bahia. Salvador, Museu do Estado, 1948, p.34.;;;;;;;;;;;;;;;;;;;;;
CARNEIRO, Edison;Brasil;1964;Português;Brasil;CARNEIRO, Edison. Ladinos e Crioulos: Estudos sobre o Negro no Brasil. Rio de Janeiro, Civilização Brasileira, 1964, pp.223-226.;;;;;;;;;;;;;;;;;;;;;
CLIFFORD, James;EUA;1988;Inglês;EUA;CLIFFORD, James. The Predicament of Culture: 20th Century Ethnography, Literature and Art. Cambridge, Harvard University Press, 1988, p.40.;;;;;;;;;;;;;;;;;;;;;
COLE, Sally;EUA;sd;Inglês;EUA;"COLE, Sally. ""Introduction/Ruth Landes in Brazil: Writing, Race and Gender in 1930s American Anthropology"". In: LANDES, Ruth. The City of Women. p.xxiv.";;;;;;;;;;;;;;;;;;;;;
COLE, Sally;EUA;No prelo;Inglês;EUA;"COLE, Sally. ""Ruth Landes and the Early Ethnography of Race and Gender"". In: BEHAR, Ruth e GORDON, Debora (eds.). Women Writing Culture/Culture Writing Women. Berkley, University of California Press (in press).";;;;;;;;;;;;;;;;;;;;;
CORRÊA, Mariza;Brasil;1982;Português;Brasil;"CORRÊA, Mariza. ""As ilusões da liberdade: A Escola Nina Rodrigues e a antropologia no Brasil"". Tese de Doutorado, Universidade de São Paulo, 1982, p.212 e 203-250.";;;;;;;;;;;;;;;;;;;;;
CURY, Christiane Abdon e CARNEIRO, Sueli;Brasil;1990;Português;Brasil;"CURY Christiane Abdon e CARNEIRO, Sueli. ""O poder feminino no culto aos orixás"". Revista de Cultura Vozes (84): 157-179, março de 1990";;;;;;;;;;;;;;;;;;;;;
DANTAS, Beatriz Góis;Brasil;1988;Português;Brasil;DANTAS, Beatriz Góis. Vovó Nagô e Papai Branco: Usos e abusos da África no Brasil. Rio de Janeiro, Graal, 1988, p.149.;;;;;;;;;;;;;;;;;;;;;
DUARTE, Nestor;Brasil;1939;Português;Brasil;DUARTE, Nestor. A Ordem Privada e a Organização Política Nacional. Rio de Janeiro, Companhia Editora Nacional, 1939, p.153.;;;;;;;;;;;;;;;;;;;;;
FRAZIER, E. Franklin;EUA;1943;Inglês;EUA;"E. FRAZIER, E. Franklin. ""Rejoinder"". American Sociological Review 8(4): 402-404, agosto de 1943.";;;;;;;;;;;;;;;;;;;;;
FOERSTEL, Leonora e GILLIAM, Angela (eds.);EUA;1992;Inglês;EUA;FOERSTEL, Leonora e GILLIAN, Angela (eds.). Confronting the Margaret Mead Legacy: Scholarship, Empire and the South Pacific. Philadelphia, Temple University Press, 1992.;;;;;;;;;;;;;;;;;;;;;
FRASER, Steven;EUA;1991;Inglês;EUA;FRASER, Steven. Labor Will Rule: Sidney Hillman and the Rise of American Labor. Ithaca, Cornell University Press, 1991.;;;;;;;;;;;;;;;;;;;;;
FRAZIER, E. Franklin;EUA;1942;Inglês;EUA;"FRAZIER, E. Franklin. ""The Negro Family in Bahia, Brazil"". American Sociological Review 7(4): 472, August 1942.";;;;;;;;;;;;;;;;;;;;;
FREEMAN, Derek;EUA;1983;Inglês;EUA;FREEMAN, Derek. Margaret Mead and Samoa: the making and unmaking of an anthropological myth. Cambridge, Harvard University Press, 1983.;;;;;;;;;;;;;;;;;;;;;
FREYRE, Gilberto;Brasil;1933;Português;Brasil;FREYRE, Gilberto. Casa Grande & Senzala. Rio de Janeiro, José Olympio, 1933.;;;;;;;;;;;;;;;;;;;;;
FREYRE, Gilberto;EUA;1946;Inglês (PT>EN);Brasil;FREYRE, Gilberto. The Masters and the Slaves: A study in the Development of Brazilian Civilization. New York, Alfred Knopf, 1946.;;;;;;;;;;;;;;;;;;;;;
FRY, Peter;Brasil;1984;Português;Brasil;"FRY, Peter. ""Gallus Africanus Est, ou, como Roger Bastide se tornou africano no Brasil"". In: von SIMSON, Olga R. de Moraes (ed.). Revisitando a Terra de Contrastes: A Atualidade da Obra de Roger Bastide. São Paulo, FFLCH/CERU/USP, 1984.";;;;;;;;;;;;;;;;;;;;;
GORDON, Deborah;EUA;1993;Inglês;EUA;"GORDON, Deborah. ""The Unhappy Relationship of Feminism and Postmodernism in Anthropology"". Anthropological Quarterly, primavera 1993";;;;;;;;;;;;;;;;;;;;;
HERSKOVITS, Melville e Frances;EUA;1943;Inglês;EUA;"HERSKOVITS, Melville e Frances. ""The Negroes of Brazil"". Yale Review 32(2): 265, Inverno de 1943.";;;;;;;;;;;;;;;;;;;;;
HERSKOVITS, Melville;EUA;1943;Inglês;EU;"HERSKOVITS, Melville. ""The Negro in Bahia, Brazil: A Problem in Method"". American Sociological Review 8(4): 395, Agosto de 1943.";;;;;;;;;;;;;;;;;;;;;
HERSKOVITS, Melville;EUA;1938;Inglês;EUA;HERSKOVITS, Melville. Acculturation: The Study of Culture Contact. New York, Locust Valley, augustin, 1938;;;;;;;;;;;;;;;;;;;;;
HERSKOVITS, Melville;EUA;1970 (1ª ed. 1941);Inglês;EUA;HERSKOVITS, Melville. The Myth of the Negro Past. Boston, Beacon Press, 1970, p.16. (1st ed. 1941.);;;;;;;;;;;;;;;;;;;;;
JACKSON, Walter;EUA;1986;Inglês;EUA;"JACKSON, Walter. ""Melville Herskovits and the Search for Afro-American Culture"". In: STOCKING Jr., George (ed.). Malinowski, Rivers, Benedict and Others: Essays on Culture and Anthropology. Madison, University of Wisconsin, 1986.";;;;;;;;;;;;;;;;;;;;;
JACKSON, Walter;EUA;1990;Inglês;EUA;JACKSON, Walter. Gunnar Myrdal and America's Conscience: Social Engineering and Racial Liberalism, 1938-1987. Chapel Hill, University of North Carolina Press, 1990;;;;;;;;;;;;;;;;;;;;;
LANDES, Ruth;EUA;1940;Inglês;EUA;"LANDES, Ruth. ""A Cult Matriarchate and Male Homosexuality"". Journal of Abnormal and Social Psychology (35): 386-397, July 1940";;;;;;;;;;;;;;;;;;;;;
LANDES, Ruth;EUA;1940;Inglês;EUA;Fetish Worship in Brazil. Journal of American Folklore (53): 261-270, 1940;;;;;;;;;;;;;;;;;;;;;
LANDES, Ruth;EUA;1940;Inglês;EUA;The Ethos of the Negro in the New World. New York, Columbia University, mimeo., 1940.;;;;;;;;;;;;;;;;;;;;;
LANDES, Ruth;EUA;1986;Inglês;EUA;"LANDES, Ruth. ""A Woman Anthropologist in Brazil"". In: COLE, Peggy (ed.). Women in the Field: Anthropological Experiences. Berkley, University of California Press, 1986, p.122.";;;;;;;;;;;;;;;;;;;;;
LANDES, Ruth;EUA;1967;Inglês;EUA;"LANDES, Ruth. ""Negro Jews in Harlem"". Jewish Journal of Sociology (9): 176-177, 1967.";;;;;;;;;;;;;;;;;;;;;
LANDES, Ruth;EUA;1994;Inglês;EUA;LANDES, Ruth. The City of Women. Albuquerque, University of New Mexico Press, 1994.;;;;;;;;;;;;;;;;;;;;;
LANDES, Ruth;EUA;1969/1970;Inglês;EUA;"LANDES, Ruth. The Mystic Lake Sioux. Madison, University of Wisconsin Press, 1969; e The Prairie Potawatami. Madison, University of Wisconsin Press, 1970.";;;;;;;;;;;;;;;;;;;;;
MASSI, Fernanda;Brasil;1989;Português;Brasil;"MASSI, Fernanda. ""Franceses e Norte-Americanos nas Ciências Sociais Brasileiras 1930-1960"". In: MICELI, Sérgio (ed.). História das Ciências Sociais no Brasil. São Paulo, Vértice/Editora Revista dos Tribunais/IDESP, 1989, vol.1, p.450";;;;;;;;;;;;;;;;;;;;;
MATORY, J. Lorand;EUA;1994;Inglês;EUA;"MATORY, J. Lorand. ""Rival Empires: Islam and the religions of spirit possession among the Òyó-Yorùba"". American Ethnologist 21(3): 495, 1994.";;;;;;;;;;;;;;;;;;;;;
MEAD, Margaret;EUA;1928;Inglês;EUA;MEAD, Margaret. Coming of Age in Samoa: A psychological study of primitive youth for Western civilization. New York, W Morrow, 1928;;;;;;;;;;;;;;;;;;;;;
"MYRDAL, Gunnar; STERNER, Richard; ROSE, Arnold";EUA;1944;Inglês;EUA;"MYRDAL, Gunnar; STERNER, Richard e ROSE, Arnold. An American Dilemma: The Negro Problem and Modern Democracy. New York, Harper & Brothers, 1944";;;;;;;;;;;;;;;;;;;;;
NEWMAN, Louise;Providence, EUA;1992;Inglês;EUA;"NEWMAN, Louise. ""Laying Claim to Difference: Ideologies or Race and Gender in the U.S. Woman's Movement, 1870- 1920"". Tese de Doutorado, Universidade de Brown, 1992";;;;;;;;;;;;;;;;;;;;;
LANDES, Ruth;EUA;1937;Inglês;EUA;Ojibwa Sociology. New York, Columbia University Press, 1937, p.143.;;;;;;;;;;;;;;;;;;;;;
OLIVEIRA, Lúcia Luppi de;Brasil;1988;Português;Brasil;OLIVEIRA, Lúcia Luppi de. Caminhos Cruzados: Trajetória Individual e Geração. Rio de Janeiro, Fundação Getúlio Vargas/CPDOC, 1988, p.14.;;;;;;;;;;;;;;;;;;;;;
PARK, Robert;EUA;1942;Inglês;EUA;"PARK, Robert. ""Introduction"". In: PIERSON, Donald. Negroes in Brazil: A Study of Race Contact at Bahia. Chicago, University of Chicago Press, 1942, p.xix.";;;;;;;;;;;;;;;;;;;;;
PATAI, Daphne;EUA;sd;Inglês;EUA;"PATAI, Daphe. ""US Academics and Third-World Women: Is Ethical Research Possible?""";;;;;;;;;;;;;;;;;;;;;
"REDFIELD, Robert; LINTON, Ralph; HERSKOVITS, Melville";EUA;1936;Inglês;EUA;"REDFIELD, Robert, LINTON, Ralph e HERSKOVITS, Melville. ""Memorandum for the study of acculturation"". American Anthropologist (38): 230-233, 1936";;;;;;;;;;;;;;;;;;;;;
RIBEIRO, René;EUA;1945;Inglês;EUA;"RIBEIRO, René. ""On the Amaziado Relationship and Other Aspects of the Family Life in Recife (Brazil)"". American Sociological Review 10(1): 44-51, fevereiro de 1945.";;;;;;;;;;;;;;;;;;;;;
SCHETTINI, Teresinha B.;Brasil;1988;Português;Brasil;"SCHETTINI, Teresinha B. ""A Mulher no Candomblé"". In: CONSORTE, Josildeth Gomes e COSTA, Marcia Regina da (eds.). Religião Política Identidade. São Paulo, EDUC, 1988";;;;;;;;;;;;;;;;;;;;;
SILVERSTEIN, Leni;Brasil;1979;Português;Brasil;"SILVERSTEIN, Leni. ""Mãe de todo mundo: Modos de Sobrevivência nas Comunidades de Candomblé da Bahia"". Religião e Sociedade (1): 143-169, outubro de 1979";;;;;;;;;;;;;;;;;;;;;
SKIDMORE, Thomas;EUA;1971;Inglês;EUA;SKIDMORE, Thomas. Black Into White: Race and Nationality in Brazilian Thought. New York, Oxford University Press, 1971;;;;;;;;;;;;;;;;;;;;;
SOUTHERN, David;EUA;1987;Inglês;EUA;SOUTHERN, David. Gunnar Myrdal and Black-White Relations: The Use and Abuse of An American Dilemma, 1944-1969. Baton Rouge, Louisiana State University Press, 1987.;;;;;;;;;;;;;;;;;;;;;
STACEY, Judith;EUA;1991;Inglês;EUA;"STACEY, Judith. ""Can There Be a Feminist Ethnography?"". In: GLUCK, Sherna Berger e PATAI, Daphe (eds.). Women's Words: The Feminist Practice of Oral History. New York, Routledge, 1991";;;;;;;;;;;;;;;;;;;;;
STOCKING JR., George;EUA;1989;Inglês;EUA;"STOCKING Jr., George. ""The Ethnographic Sensibility of the 1920s"". In: STOCKING Jr., George (ed.). Romantic Motives. Madison, University of Wisconsin Press, 1989.";;;;;;;;;;;;;;;;;;;;;
STOCKING JR., George;EUA;1992;Inglês;EUA;STOCKING Jr., George. The Ethnografers's Magic and Other essays in the History of Anthropology. Madison, University of Wisconsin Press, 1992, p.162;;;;;;;;;;;;;;;;;;;;;
STOCKING JR., George;EUA;1987;Inglês;EUA;STOCKING Jr., George. Victorian Anthropology. New York, Free Press, 1987, pp.190-191.;;;;;;;;;;;;;;;;;;;;;
SWEET, James;EUA;1991;Inglês;EUA;SWEET, James. The Taste of Blood: Spirit Possession in Brazilian Candomblé. Philadelphia, University of Pennsylvania Press, 1991;;;;;;;;;;;;;;;;;;;;;
TANNENBAUM, Frank;EUA;1946;Inglês;EUA;TANNENBAUM, Frank. Slave and Citizen: The Negro in the Americas. New York, Random House, 1946;;;;;;;;;;;;;;;;;;;;;
FRAZIER, E. Franklin;EUA;1939;Inglês;EUA;"The Negro Family in the United States. Chicago, University of Chicago Press, 1939, especialmente parte II, ""In the House of the Mother"".";;;;;;;;;;;;;;;;;;;;;
LANDES, Ruth;EUA;1938;Inglês;EUA;The Ojibwa Woman. New York, Columbia University Press, 1938, p.vii;;;;;;;;;;;;;;;;;;;;;
VISWESWARAN, Kamala;EUA;1994;Inglês;EUA;VISWESWARAN, Kamala. Fictions of Feminist Ethnography. Minneapolis, University of Minnesota Press, 1994, p.87.;;;;;;;;;;;;;;;;;;;;;
WAGLEY, Charles;EUA;1964;Inglês;EUA;"WAGLEY, Charles. ""Anthropology"". In: WAGLEY, Charles (ed.). Social Science Research on Latin America. New York, Columbia University Press, 1964, p.142.";;;;;;;;;;;;;;;;;;;;;
BIRMAN, Patrícia;Brasil;1995;Português;EUA;BIRMAN, Patricia. Fazer Estilo Criando Gêneros. Rio de Janeiro, Relume Dumará, 1995.;;;;;;;;;;;;;;;;;;;;;
BIRMAN, Patrícia;Brasil;1996;Português;EUA;"BIRMAN, Patricia ""Cultos de possessão e pentecostalismo no Brasil: passagens"". Religião e Sociedade 17(1): 2, 1996.";;;;;;;;;;;;;;;;;;;;;
BOYER, Véronique;Brasil;1994;Português;Brasil;"BOYER, Veronique. ""Macumbeiras e crentes, as mulheres vêm os homens"". Mimeo, 1994.";;;;;;;;;;;;;;;;;;;;;
BURDICK, John;EUA;1993;Inglês;EUA;Burdick, J. Looking for God in Brazil. The progressive Catholic Church in Brazil religious arena. Berkeley, University of California Press, 1993.;;;;;;;;;;;;;;;;;;;;;
CORTEN, André;França;1995;Francês;França;CORTEN, A. Le pentecôtisme au Brésil. Emotion Du pauvre ET romantisme théologique. S.l.p., Ed. Karthala, 1995.;;;;;;;;;;;;;;;;;;;;;
MARIZ, Cecília e MACHADO, Maria das Dores;Brasil;1996;Português;Brasil;"MARIZ, C. e MACHADO, M. ""Pentecostalismo e a redefinição do feminismo"". Religião e sociedade 17 (1/2), 1996";;;;;;;;;;;;;;;;;;;;;
MACHADO, Maria das Dores;Brasil;1994;Português;Brasil;"MACHADO, M.D. ""Adesão religiosa e seus efeitos na esfera privada: um estudo comparativo dos carismáticos e pentecostais do Rio de Janeiro"". Tese de doutorado, 1994. David Lehman, 1996.";;;;;;;;;;;;;;;;;;;;;
MARY, André;França;1993;Francês;França;"Mary, A. ""Le travail symbolique des prophètes d'Eboga: logiques syncrétiques et entredeux culturel"". Cahiers d'Etudes Africaines 132 (XXXIII-4), 1993.";;;;;;;;;;;;;;;;;;;;;
SANCHIS, Pierre;Brasil;1994;Português;Brasil;"Sanchis, P. ""O repto pentecostal à cultura católico-brasileira"". In: Nem anjos nem demônios. Revista de Antropologia, vol. 37, pp 145-81. 1994";;;;;;;;;;;;;;;;;;;;;
ORTNER, Sherry B. e WHITEHEAD, Harriet (eds.);Inglaterra;1981;Inglês;Inglaterra;The cultural construction of sexuality. ORTNER, S.B. e WHITEHEAD, H. (eds.) Sexual Meanings. The Cultural Construction of Gender and Sexuality. Cambridge, Cambridge University Press, 1981;;;;;;;;;;;;;;;;;;;;;
ALCOFF, Linda;EUA;1988;Inglês;EUA;ALCOFF, L. Cultural feminism versus post-structuralism: the identy crisis in feminist theory. Signs, nº 13, 1988.;;;;;;;;;;;;;;;;;;;;;
BATTAGLIA, Debbora;Inglaterra;1991;Inglês;Inglaterra;BATTAGLlA, D. Punishing the yams: leadership and gender ambivalence on Sabarl. In: GODELlER, M. and STRATHERN, M. (eds.) Big Men and Great Men. Personifications of Power in Melanesia. Cambridge, Cambridge University Press, 1991;;;;;;;;;;;;;;;;;;;;;
BUCKLEY, Thomas e GOTTLIEB, Alma (eds.);EUA;1988;Inglês;EUA;BUCKLEY, T. e GOTTLlEB, A. Blood Magic. The Anthropology of Menstruation. Berkeley & Los Angeles, University of Califomia Press, 1988.;;;;;;;;;;;;;;;;;;;;;
CAPLAN, Patricia (ed.); Inglaterra;1987;Inglês;Inglaterra;CAPLAN, P. (ed.) The Cultural Construction of Sexuality. London, Tavistock, 1987;;;;;;;;;;;;;;;;;;;;;
CLIFFORD, James e MARCUS, George E. (eds.);EUA;1986;Inglês;EUA;CLIFFORD, I. e MARCUS, G.E. (eds.) Writing Culture: The Poetics and Politics of Ethnography. Berkeley & Los Angeles, University of California Press, 1986.;;;;;;;;;;;;;;;;;;;;;
"FISHER, Michael M.J.; MARCUS, George; TYLER, Stephen A.";EUA;1988;Inglês;EUA;"FISHER, M.M.J; MARCUS, G. and TYLER, S.A. Rcsponse to Sangren, ""Rhetoric and the authority of anthropology"". Current Antropology, nº 29, 1988, pp.425-6";;;;;;;;;;;;;;;;;;;;;
GEERTZ, Clifford e BOON, James A.;EUA e Inglaterra;1973;Inglês;EUA e Inglaterra;"GEERTZ, C. The interpretation of Cultures. New York, Basic Books, 1973; BOON, J.A. Other Tribes, Other Scribes. Symbolic Anthropology in the Corporative Study of Cultures, Histories. Religious, and Texts. Cambridge, Cambridge University Press, 1982.";;;;;;;;;;;;;;;;;;;;;
GIDDENS, Anthony;Inglaterra;1984;Inglês;Inglaterra;GIDDENS, A.The Constitution of Society)'. Oxford, Polity Press, 1984, p.334.;;;;;;;;;;;;;;;;;;;;;
GILLISON, Gillian; Inglaterra;sd;Inglês; Inglaterra;GILLISON, G. The flute myth and the law of equivalence: origins of a principIe of exchange. In: GODELlER, M. and STRATHERN, M. (eds.) Op.cit.;;;;;;;;;;;;;;;;;;;;;
HARAWAY, Donna;EUA;1988;Inglês;EUA;HARAWAY, D. Situated knowledges: the science question in feminism as a site of discourse on the privilege of partial perspective. Feminist Studies. 14, 1988, pp.575–99;;;;;;;;;;;;;;;;;;;;;
HARDING, Sandra;EUA;1986;Inglês;EUA;HARDING, S. The instability of the analytical categories of feminist theory. Signs: Journal of Women Culture and Society, n° 11, 1986.;;;;;;;;;;;;;;;;;;;;;
HARRISON, Simon;EUA;1985;Inglês;EUA;HARRISON, S. Concepts of the person in Avatip religious thought. Mall (N.S.), n° 20, 1985;;;;;;;;;;;;;;;;;;;;;
JORDANOVA, Ludmilla;Inglaterra;1980;Inglês;Inglaterra;JORDANOVA, L. Natural facts: a historical perspcctive on science and sexuality. In: MaCORMACK, C. and STRATHERN, M. (eds.) Nature, Culture and Gender. Cambridge, Cambridge University Press, 1980.;;;;;;;;;;;;;;;;;;;;;
KIRBY, Vicki;Austrália;1989;Inglês;Austrália;KIRBY, V. Capitalizing difference: feminism and anthropology. Australian Feminist Studies, n° 9,1989, p.7.;;;;;;;;;;;;;;;;;;;;;
MARTIN, Emily; EUA;1987;Inglês;EUA;MARTIN, E. The Woman in the Body. A Cultural Analisys of Reproduction. Boston, Beacon Press, 1987, p.197.;;;;;;;;;;;;;;;;;;;;;
MERLAN, Francesca;Austrália;1986;Inglês;Austrália;MERLAN, Francesca. Aspects of Ritual and Gender Relations in Aborigina] Australia. Seminar Paper, Australian National University, dezembro de 1986.;;;;;;;;;;;;;;;;;;;;;
MOI, Toril;Inglaterra;1985;Inglês;Inglaterra;MOI, T. Sexual/Textual Politics: Feminist Literary Theory. London, Routledge, 1985, p.39.;;;;;;;;;;;;;;;;;;;;;
MOORE, Henrietta;Inglaterra;1988;Inglês;Inglaterra;MOORE, H. Feminism and Anthropology. Oxford, Polity Press, 1988.;;;;;;;;;;;;;;;;;;;;;
MOSKO, Mark;Austrália;1983;Inglês;Austrália;MOSKO, M. Conception, de-conception and social structure in Bush Mekeo culture. Mankind, Special Issue. JORGENSEN, D. (ed.) Concepts of Conception: procreation ideologies in Papua New Ginea, 1983.;;;;;;;;;;;;;;;;;;;;;
